month,bidding_no,vehicle_class,premium
2010-01,1,Category A,18502
2010-01,1,Category B,19190
2010-01,1,Category C,19001
2010-01,1,Category D,889
2010-01,1,Category E,19889
2010-01,2,Category A,20501
2010-01,2,Category B,22400
2010-01,2,Category C,20090
2010-01,2,Category D,852
2010-01,2,Category E,21899
2010-02,1,Category A,19989
2010-02,1,Category B,23180
2010-02,1,Category C,21390
2010-02,1,Category D,852
2010-02,1,Category E,22401
2010-02,2,Category A,20340
2010-02,2,Category B,23889
2010-02,2,Category C,23501
2010-02,2,Category D,1001
2010-02,2,Category E,24229
2010-03,1,Category A,20802
2010-03,1,Category B,26389
2010-03,1,Category C,27001
2010-03,1,Category D,1159
2010-03,1,Category E,27590
2010-03,2,Category A,28389
2010-03,2,Category B,36089
2010-03,2,Category C,32890
2010-03,2,Category D,1200
2010-03,2,Category E,42001
2010-04,1,Category A,34001
2010-04,1,Category B,45501
2010-04,1,Category C,36511
2010-04,1,Category D,1221
2010-04,1,Category E,49000
2010-04,2,Category A,30000
2010-04,2,Category B,40001
2010-04,2,Category C,35556
2010-04,2,Category D,1253
2010-04,2,Category E,43003
2010-05,1,Category A,26102
2010-05,1,Category B,38000
2010-05,1,Category C,32501
2010-05,1,Category D,1252
2010-05,1,Category E,39002
2010-05,2,Category A,27389
2010-05,2,Category B,34600
2010-05,2,Category C,29389
2010-05,2,Category D,1312
2010-05,2,Category E,39000
2010-06,1,Category A,29501
2010-06,1,Category B,35909
2010-06,1,Category C,31389
2010-06,1,Category D,1320
2010-06,1,Category E,41010
2010-06,2,Category A,31510
2010-06,2,Category B,39911
2010-06,2,Category C,31689
2010-06,2,Category D,1454
2010-06,2,Category E,41006
2010-07,1,Category A,29501
2010-07,1,Category B,35909
2010-07,1,Category C,31389
2010-07,1,Category D,1320
2010-07,1,Category E,41010
2010-07,2,Category A,36162
2010-07,2,Category B,42889
2010-07,2,Category C,30601
2010-07,2,Category D,1290
2010-07,2,Category E,43565
2010-08,1,Category A,32104
2010-08,1,Category B,43334
2010-08,1,Category C,30112
2010-08,1,Category D,1301
2010-08,1,Category E,42901
2010-08,2,Category A,29000
2010-08,2,Category B,42810
2010-08,2,Category C,30002
2010-08,2,Category D,1251
2010-08,2,Category E,43501
2010-09,1,Category A,33089
2010-09,1,Category B,44129
2010-09,1,Category C,33000
2010-09,1,Category D,1502
2010-09,1,Category E,44001
2010-09,2,Category A,30001
2010-09,2,Category B,42501
2010-09,2,Category C,31001
2010-09,2,Category D,1452
2010-09,2,Category E,43290
2010-10,1,Category A,33132
2010-10,1,Category B,42801
2010-10,1,Category C,30889
2010-10,1,Category D,1502
2010-10,1,Category E,44090
2010-10,2,Category A,32415
2010-10,2,Category B,44600
2010-10,2,Category C,30511
2010-10,2,Category D,1689
2010-10,2,Category E,44900
2010-11,1,Category A,34001
2010-11,1,Category B,45501
2010-11,1,Category C,31006
2010-11,1,Category D,1452
2010-11,1,Category E,46001
2010-11,2,Category A,39000
2010-11,2,Category B,47890
2010-11,2,Category C,31202
2010-11,2,Category D,1502
2010-11,2,Category E,49890
2010-12,1,Category A,47604
2010-12,1,Category B,62502
2010-12,1,Category C,32001
2010-12,1,Category D,1701
2010-12,1,Category E,64900
2010-12,2,Category A,46129
2010-12,2,Category B,72001
2010-12,2,Category C,33501
2010-12,2,Category D,1551
2010-12,2,Category E,76102
2011-01,1,Category A,38889
2011-01,1,Category B,69000
2011-01,1,Category C,35111
2011-01,1,Category D,1503
2011-01,1,Category E,75789
2011-01,2,Category A,40123
2011-01,2,Category B,58910
2011-01,2,Category C,30000
2011-01,2,Category D,1690
2011-01,2,Category E,67009
2011-02,1,Category A,37124
2011-02,1,Category B,53400
2011-02,1,Category C,28589
2011-02,1,Category D,1819
2011-02,1,Category E,58890
2011-02,2,Category A,42999
2011-02,2,Category B,62000
2011-02,2,Category C,29011
2011-02,2,Category D,2001
2011-02,2,Category E,62001
2011-03,1,Category A,42600
2011-03,1,Category B,61894
2011-03,1,Category C,30001
2011-03,1,Category D,2604
2011-03,1,Category E,62010
2011-03,2,Category A,43813
2011-03,2,Category B,57002
2011-03,2,Category C,29690
2011-03,2,Category D,2534
2011-03,2,Category E,59073
2011-04,1,Category A,43212
2011-04,1,Category B,55001
2011-04,1,Category C,28189
2011-04,1,Category D,2490
2011-04,1,Category E,57100
2011-04,2,Category A,44000
2011-04,2,Category B,56801
2011-04,2,Category C,23900
2011-04,2,Category D,2502
2011-04,2,Category E,56001
2011-05,1,Category A,44790
2011-05,1,Category B,56011
2011-05,1,Category C,21889
2011-05,1,Category D,2253
2011-05,1,Category E,56490
2011-05,2,Category A,46989
2011-05,2,Category B,56300
2011-05,2,Category C,22989
2011-05,2,Category D,2013
2011-05,2,Category E,56889
2011-06,1,Category A,53390
2011-06,1,Category B,63000
2011-06,1,Category C,29006
2011-06,1,Category D,2491
2011-06,1,Category E,62000
2011-06,2,Category A,50244
2011-06,2,Category B,67700
2011-06,2,Category C,31089
2011-06,2,Category D,2290
2011-06,2,Category E,65490
2011-07,1,Category A,55989
2011-07,1,Category B,68501
2011-07,1,Category C,32590
2011-07,1,Category D,2360
2011-07,1,Category E,68811
2011-07,2,Category A,56002
2011-07,2,Category B,72501
2011-07,2,Category C,34502
2011-07,2,Category D,2012
2011-07,2,Category E,74490
2011-08,1,Category A,48801
2011-08,1,Category B,70890
2011-08,1,Category C,34009
2011-08,1,Category D,1890
2011-08,1,Category E,70117
2011-08,2,Category A,49301
2011-08,2,Category B,65521
2011-08,2,Category C,32289
2011-08,2,Category D,1999
2011-08,2,Category E,67000
2011-09,1,Category A,51000
2011-09,1,Category B,63002
2011-09,1,Category C,31900
2011-09,1,Category D,2339
2011-09,1,Category E,65589
2011-09,2,Category A,48006
2011-09,2,Category B,64889
2011-09,2,Category C,30089
2011-09,2,Category D,2109
2011-09,2,Category E,62502
2011-10,1,Category A,50289
2011-10,1,Category B,63600
2011-10,1,Category C,32801
2011-10,1,Category D,2078
2011-10,1,Category E,65058
2011-10,2,Category A,56112
2011-10,2,Category B,75889
2011-10,2,Category C,37011
2011-10,2,Category D,2091
2011-10,2,Category E,73600
2011-11,1,Category A,55997
2011-11,1,Category B,77000
2011-11,1,Category C,40803
2011-11,1,Category D,2012
2011-11,1,Category E,78001
2011-11,2,Category A,54887
2011-11,2,Category B,77340
2011-11,2,Category C,40189
2011-11,2,Category D,1889
2011-11,2,Category E,75889
2011-12,1,Category A,52392
2011-12,1,Category B,72350
2011-12,1,Category C,40009
2011-12,1,Category D,1902
2011-12,1,Category E,74340
2011-12,2,Category A,50001
2011-12,2,Category B,70003
2011-12,2,Category C,39589
2011-12,2,Category D,1481
2011-12,2,Category E,71000
2012-01,1,Category A,46889
2012-01,1,Category B,65801
2012-01,1,Category C,38699
2012-01,1,Category D,1682
2012-01,1,Category E,65700
2012-01,2,Category A,48112
2012-01,2,Category B,67889
2012-01,2,Category C,44001
2012-01,2,Category D,1552
2012-01,2,Category E,67101
2012-02,1,Category A,52809
2012-02,1,Category B,73890
2012-02,1,Category C,49801
2012-02,1,Category D,1802
2012-02,1,Category E,73801
2012-02,2,Category A,57009
2012-02,2,Category B,78189
2012-02,2,Category C,52004
2012-02,2,Category D,2012
2012-02,2,Category E,78000
2012-03,1,Category A,56551
2012-03,1,Category B,79304
2012-03,1,Category C,50009
2012-03,1,Category D,1490
2012-03,1,Category E,76881
2012-03,2,Category A,56501
2012-03,2,Category B,82003
2012-03,2,Category C,51511
2012-03,2,Category D,2000
2012-03,2,Category E,80101
2012-04,1,Category A,58501
2012-04,1,Category B,83700
2012-04,1,Category C,53989
2012-04,1,Category D,1896
2012-04,1,Category E,84590
2012-04,2,Category A,64201
2012-04,2,Category B,91000
2012-04,2,Category C,57589
2012-04,2,Category D,1924
2012-04,2,Category E,92010
2012-05,1,Category A,62600
2012-05,1,Category B,92050
2012-05,1,Category C,58553
2012-05,1,Category D,2021
2012-05,1,Category E,88990
2012-05,2,Category A,58001
2012-05,2,Category B,85216
2012-05,2,Category C,57106
2012-05,2,Category D,1890
2012-05,2,Category E,86889
2012-06,1,Category A,59003
2012-06,1,Category B,83000
2012-06,1,Category C,54522
2012-06,1,Category D,1912
2012-06,1,Category E,85889
2012-06,2,Category A,59004
2012-06,2,Category B,85400
2012-06,2,Category C,54502
2012-06,2,Category D,1712
2012-06,2,Category E,84389
2012-07,1,Category A,59421
2012-07,1,Category B,82289
2012-07,1,Category C,55556
2012-07,1,Category D,1760
2012-07,1,Category E,86999
2012-07,2,Category A,68656
2012-07,2,Category B,90501
2012-07,2,Category C,55805
2012-07,2,Category D,1859
2012-07,2,Category E,92700
2012-08,1,Category A,73501
2012-08,1,Category B,94502
2012-08,1,Category C,57001
2012-08,1,Category D,2081
2012-08,1,Category E,95034
2012-08,2,Category A,66889
2012-08,2,Category B,88002
2012-08,2,Category C,59334
2012-08,2,Category D,2013
2012-08,2,Category E,93990
2012-09,1,Category A,68000
2012-09,1,Category B,80191
2012-09,1,Category C,57334
2012-09,1,Category D,1801
2012-09,1,Category E,87999
2012-09,2,Category A,63000
2012-09,2,Category B,88500
2012-09,2,Category C,57809
2012-09,2,Category D,1852
2012-09,2,Category E,89990
2012-10,1,Category A,69000
2012-10,1,Category B,80001
2012-10,1,Category C,56001
2012-10,1,Category D,1912
2012-10,1,Category E,86889
2012-10,2,Category A,71001
2012-10,2,Category B,85801
2012-10,2,Category C,57889
2012-10,2,Category D,1920
2012-10,2,Category E,87000
2012-11,1,Category A,77201
2012-11,1,Category B,92400
2012-11,1,Category C,59111
2012-11,1,Category D,1959
2012-11,1,Category E,92100
2012-11,2,Category A,77291
2012-11,2,Category B,93004
2012-11,2,Category C,60235
2012-11,2,Category D,1689
2012-11,2,Category E,93990
2012-12,1,Category A,78523
2012-12,1,Category B,90200
2012-12,1,Category C,63035
2012-12,1,Category D,1612
2012-12,1,Category E,97000
2012-12,2,Category A,81889
2012-12,2,Category B,93501
2012-12,2,Category C,62201
2012-12,2,Category D,1701
2012-12,2,Category E,95990
2013-01,1,Category A,92100
2013-01,1,Category B,96210
2013-01,1,Category C,60000
2013-01,1,Category D,1933
2013-01,1,Category E,96101
2013-01,2,Category A,91010
2013-01,2,Category B,95501
2013-01,2,Category C,57051
2013-01,2,Category D,1781
2013-01,2,Category E,97889
2013-02,1,Category A,87109
2013-02,1,Category B,92901
2013-02,1,Category C,54989
2013-02,1,Category D,1782
2013-02,1,Category E,94890
2013-02,2,Category A,78301
2013-02,2,Category B,92667
2013-02,2,Category C,53489
2013-02,2,Category D,1512
2013-02,2,Category E,91910
2013-03,1,Category A,74689
2013-03,1,Category B,58090
2013-03,1,Category C,53900
2013-03,1,Category D,1895
2013-03,1,Category E,65001
2013-03,2,Category A,64209
2013-03,2,Category B,73900
2013-03,2,Category C,54111
2013-03,2,Category D,1909
2013-03,2,Category E,73301
2013-04,1,Category A,61029
2013-04,1,Category B,67010
2013-04,1,Category C,56011
2013-04,1,Category D,1812
2013-04,1,Category E,66989
2013-04,2,Category A,62497
2013-04,2,Category B,62000
2013-04,2,Category C,58502
2013-04,2,Category D,1791
2013-04,2,Category E,62000
2013-05,1,Category A,62999
2013-05,1,Category B,61700
2013-05,1,Category C,57051
2013-05,1,Category D,1700
2013-05,1,Category E,62301
2013-05,2,Category A,64839
2013-05,2,Category B,67304
2013-05,2,Category C,56889
2013-05,2,Category D,1663
2013-05,2,Category E,66701
2013-06,1,Category A,67301
2013-06,1,Category B,75000
2013-06,1,Category C,57989
2013-06,1,Category D,1701
2013-06,1,Category E,76000
2013-06,2,Category A,69903
2013-06,2,Category B,81751
2013-06,2,Category C,59001
2013-06,2,Category D,1712
